language	glottocode	id_word	id_meaning	lemma	ipa	definition	morphology	annotator	pos	reference	meaning_ru	meaning	noun_class	dialect	examples
Khwarshi	khva1239	3594	5080	ЙАЦI-ЦIОДОДУ́ХНУ	j-a-tsʼ-tsʼ-o-d-o-d-'u-χ-n-u	понуд. учащ. масд. от гл. йацI-цIододха́; ср.: бацI-цIододухну; лацI-цIододухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	частое угощение	понуд. учащ. масд. от гл. йацI-цIододха́;			ср.: бацI-цIододухну; лацI-цIододухну
Khwarshi	khva1239	3595	5081	Й/АЦI-ЦIОДХА́//Й/АЦI-ЦIОХХА́	j-a-tsʼ-tsʼ-o-d-χ-'a j-a-tsʼ-tsʼ-o-χ-χ-'a	(йацI-цIоду́хше, йацI-цIодхи́, йацI-цIод­ху́н, йацI-цIодōх, йацI-цIодхо) понуд. заставить есть и пить; ср.: бацI-цIодха// бацI-цIохха, лацI-цIодха//лацI-цIохха; см. йацI-хулIа	(йацI-цIоду́хше, йацI-цIодхи́, йацI-цIод­ху́н, йацI-цIодōх, йацI-цIодхо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	заставить есть	понуд. заставить есть и пить;			ср.: бацI-цIодха// бацI-цIохха, лацI-цIодха//лацI-цIохха; см. йацI-хулIа
Khwarshi	khva1239	3596	5082	Й/АЦI-ЦIОДУ́ХНУ	j-a-tsʼ-tsʼ-o-d-'u-χ-n-u	понуд. масд. от гл. йацI-цIодха//йацI-цIохха; ср.: бацI-цIодухну; лацI-цIодухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	заставление есть	понуд. масд. от гл. йацI-цIодха//йацI-цIохха;			ср.: бацI-цIодухну; лацI-цIодухну
Khwarshi	khva1239	3597	5083	ЙАЦI-ЦIОДХОХКIА́	j-a-tsʼ-tsʼ-o-d-χ-o-χ-k’-'a	(йацI-цIодхоху́кI­ше, йацI-цIодхохкIи́, йацI-цIодхохкIу́н, йацI-цIодхохкIōй, йацI-цIодхохкIо) понуд.II от гл. йацI-цIодха// йацI-цIохха; ср. ацI-цIодхохкIа, бацI-цIодхохкIа, лацI-цIодхохкIа	(йацI-цIодхоху́кI­ше, йацI-цIодхохкIи́, йацI-цIодхохкIу́н, йацI-цIодхохкIōй, йацI-цIодхохкIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	заставить заставить есть	понуд.II от гл. йацI-цIодха// йацI-цIохха;	I		ср. ацI-цIодхохкIа, бацI-цIодхохкIа, лацI-цIодхохкIа
Khwarshi	khva1239	3598	5084	ЙАЦI-ЦIОДХОХУ́КIНУ	j-a-tsʼ-tsʼ-o-d-χ-o-χ-'u-k’-n-u	понуд. масд. от гл. йацI-цIодхохкIа́; ср. ацI-цIодхо­хукIну; бацI-цIодхохукIну; лацI-цIодхо­хукIну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	заставление заставления есть	понуд. масд. от гл. йацI-цIодхохкIа́;			ср. ацI-цIодхо­хукIну; бацI-цIодхохукIну; лацI-цIодхо­хукIну
Khwarshi	khva1239	3599	5085	Й/АЦIЫ́ХНУ	j-a-tsʼ-'ɨ-χ-n-u	1. масд. от гл. йацIха́ 2. 1) кормление чем-л. 2) съедение		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	кормление	масд. от гл. йацIха́			
Khwarshi	khva1239	3599	5086	Й/АЦIЫ́ХНУ	j-a-tsʼ-'ɨ-χ-n-u	1. масд. от гл. йацIха́ 2. 1) кормление чем-л. 2) съедение		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	кормление	кормление чем-л.			
Khwarshi	khva1239	3599	5087	Й/АЦIЫ́ХНУ	j-a-tsʼ-'ɨ-χ-n-u	1. масд. от гл. йацIха́ 2. 1) кормление чем-л. 2) съедение		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	съедение	съедение			
Khwarshi	khva1239	3600	5088	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	распространиться	распространиться, распространяться (беспорядочно);			хабар бачун весть (разговор) распространилась (-ся)
Khwarshi	khva1239	3600	5089	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	разворачиваться	разворачиваться			
Khwarshi	khva1239	3600	5090	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	расстилаться	расстилаться			
Khwarshi	khva1239	3600	5091	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	разбрести	разбрести;			посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда)
Khwarshi	khva1239	3600	5092	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	завестись	завестись (о мелких насекомых);			ноцо бачун вши завелись
Khwarshi	khva1239	3600	5093	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	разматываться	разматываться, размотаться (о нитках);			кIомораба рачун клубки размотались; квару бачви размотали нитки
Khwarshi	khva1239	3600	5094	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	стлаться	стлаться (о тумане)			
Khwarshi	khva1239	3600	5095	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	разложиться	разложиться;			локъо-шокъо рачхун посуду разложили не на своём месте (как попало)
Khwarshi	khva1239	3600	5096	Й/АЧВА1	j-a-tʃʰ-w-a	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва) 1) распространиться, распространяться (беспорядочно); хабар бачун весть (разговор) распространилась (-ся) 2) разворачиваться 3) расстилаться 4) разбрести; посу бачви скот разбрелся; быкь рачви овцы разбрелись (кто куда) 5) завестись (о мелких насекомых); ноцо бачун вши завелись 6) разматываться, размотаться (о нитках); кIомораба рачун клубки размотались; квару бачви размотали нитки 7) стлаться (о тумане) 8) разложиться; локъо-шокъо рачхун посуду разложили не на своём месте (как попало) 9) раскидываться, раскидаться; ср.: ачва, бачва, рачва	(йа́ччве, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	раскидываться	раскидываться, раскидаться;			ср.: ачва, бачва, рачва
Khwarshi	khva1239	3601	5097	ЙАЧ/ВА2	j-a-tʃʰ-w-a	(йаччве́, йачви́, йачу́н, йа̄чв, йа́чва) быть (стать) общительнее (благорасположенее); благорасположиться (начинать общаться, преодолев застенчивость, замкнутость); гьобийе ужас гъиIне цIоху йачви теперь сноха стала общительнее; йу къалалъ ачун голи он благорасположен к детям (общается с детьми); ср.: ачва, бачва, рачва	(йаччве́, йачви́, йачу́н, йа̄чв, йа́чва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	благорасположиться	(йаччве́, йачви́, йачу́н, йа̄чв, йа́чва) быть (стать) общительнее (благорасположенее);			благорасположиться (начинать общаться, преодолев застенчивость, замкнутость); гьобийе ужас гъиIне цIоху йачви теперь сноха стала общительнее; йу къалалъ ачун голи он благорасположен к детям (общается с детьми); ср.: ачва, бачва, рачва
Khwarshi	khva1239	3602	5098	Й/АЧВАЧВА́	j-a-tʃʰ-w-a-tʃʰ-w-'a	(йачва́ччве, йачвачви́, йачвачу́н, йачвачва̄й, йа́чвачва) учащ. масд. от гл. йачва1,2; ср.: ачвачва, бачва­чва, рачвачва	(йачва́ччве, йачвачви́, йачвачу́н, йачвачва̄й, йа́чвачва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	частое благорасположение	(йачва́ччве, йачвачви́, йачвачу́н, йачвачва̄й, йа́чвачва) учащ. масд. от гл. йачва1,2;			ср.: ачвачва, бачва­чва, рачвачва
Khwarshi	khva1239	3603	5099	Й/АЧВА́ЧНУ	j-a-tʃʰ-w-'a-tʃʰ-n-u	учащ. масд. от гл. йа­чвачва́; ср.: ачвачну, бачвачну, рачвачну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	частое благорасположение	учащ. масд. от гл. йа­чвачва́;			ср.: ачвачну, бачвачну, рачвачну
Khwarshi	khva1239	3604	5100	Й/АЧВАЧУ́ХНУ	j-a-tʃʰ-w-a-tʃʰ-'u-χ-n-u	учащ. понуд. масд. от гл. йачвачха́; ср.: ачвачухну, бачвачухну, лачвачухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	заставление распространиться	учащ. понуд. масд. от гл. йачвачха́;			ср.: ачвачухну, бачвачухну, лачвачухну
Khwarshi	khva1239	3605	5101	Й/АЧВАЧХА́//ЙАЧАЧХВА́	j-a-tʃʰ-w-a-tʃʰ-χ-'a j-a-tʃʰ-a-tʃʰ-χ-w-'a	(йачвачу́х­ше, йачвачхи́, йачвачху́н, йачвачха̄й, йа́чвачха) учащ. понуд. от гл. йачхва́	(йачвачу́х­ше, йачвачхи́, йачвачху́н, йачвачха̄й, йа́чвачха)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	заставить часто распространиться	(йачвачу́х­ше, йачвачхи́, йачвачху́н, йачвачха̄й, йа́чвачха) учащ. понуд. от гл. йачхва́			
Khwarshi	khva1239	3606	5102	Й/АЧИДА́	j-a-tʃʰ-i-d-'a	(йачи́дше//йачи́шше, йачи­ди́, йачиди́н, йачидōй, йа́чидо) 1) нести, переносить, перетаскивать что-л.; кад гуггакьа йачида перенести дочь на спине (понести в пути) 2) перен. терпеть, стерпеть; выносить, вынести (тяготы, страдания); илъе гъиIна эззагIан гьимон рачиди эта женщина вынесла много страданий; илъе йу зебу йачиди она вынесла этот день (горе какое-л.); ср.: ачида, бачида, рачида	(йачи́дше//йачи́шше, йачи­ди́, йачиди́н, йачидōй, йа́чидо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	нести	нести, переносить, перетаскивать что-л.;			кад гуггакьа йачида перенести дочь на спине (понести в пути)
Khwarshi	khva1239	3606	5103	Й/АЧИДА́	j-a-tʃʰ-i-d-'a	(йачи́дше//йачи́шше, йачи­ди́, йачиди́н, йачидōй, йа́чидо) 1) нести, переносить, перетаскивать что-л.; кад гуггакьа йачида перенести дочь на спине (понести в пути) 2) перен. терпеть, стерпеть; выносить, вынести (тяготы, страдания); илъе гъиIна эззагIан гьимон рачиди эта женщина вынесла много страданий; илъе йу зебу йачиди она вынесла этот день (горе какое-л.); ср.: ачида, бачида, рачида	(йачи́дше//йачи́шше, йачи­ди́, йачиди́н, йачидōй, йа́чидо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	терпеть	перен. терпеть, стерпеть;			выносить, вынести (тяготы, страдания); илъе гъиIна эззагIан гьимон рачиди эта женщина вынесла много страданий; илъе йу зебу йачиди она вынесла этот день (горе какое-л.); ср.: ачида, бачида, рачида
Khwarshi	khva1239	3607	5104	Й/АЧИДДО́В	j-a-tʃʰ-i-d-d-'o-w	// Й/АЧИДДО́ГУ прич. 1) терпеливый; голлуч рачиддов гьикIо терпеливый мужчина 2) выносливый; стойкий; рачиддов гъиIне выносливая женщина; захIмалъи рачиддов уже стойкий (выносливый) парень; хварш. йачийда; ср.: ачиддов//ачиддогу, бачиддов// бачиддогу, рачиддов//рачиддогу		Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	терпеливый	терпеливый;			голлуч рачиддов гьикIо терпеливый мужчина
Khwarshi	khva1239	3607	5105	Й/АЧИДДО́В	j-a-tʃʰ-i-d-d-'o-w	// Й/АЧИДДО́ГУ прич. 1) терпеливый; голлуч рачиддов гьикIо терпеливый мужчина 2) выносливый; стойкий; рачиддов гъиIне выносливая женщина; захIмалъи рачиддов уже стойкий (выносливый) парень; хварш. йачийда; ср.: ачиддов//ачиддогу, бачиддов// бачиддогу, рачиддов//рачиддогу		Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	выносливый	выносливый;		хваршинский	стойкий; рачиддов гъиIне выносливая женщина; захIмалъи рачиддов уже стойкий (выносливый) парень; хварш. йачийда; ср.: ачиддов//ачиддогу, бачиддов// бачиддогу, рачиддов//рачиддогу
Khwarshi	khva1239	3608	5106	Й/АЧИ́ДНУ	j-a-tʃʰ-'i-d-n-u	1. масд. от  гл. йачида́ 2. 1) 1) перенос, перетаскивание 2) перен. терпение, терпеливость; вынесение тягот, выносливость; дилолъыл мижо рачидну лотIокъби вам далеко до моей выносливости; ср.: ачидну, бачидну, рачидну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	терпение	масд. от  гл. йачида́			
Khwarshi	khva1239	3608	5108	Й/АЧИ́ДНУ	j-a-tʃʰ-'i-d-n-u	1. масд. от  гл. йачида́ 2. 1) 1) перенос, перетаскивание 2) перен. терпение, терпеливость; вынесение тягот, выносливость; дилолъыл мижо рачидну лотIокъби вам далеко до моей выносливости; ср.: ачидну, бачидну, рачидну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	перенос	перенос, перетаскивание			
Khwarshi	khva1239	3608	5109	Й/АЧИ́ДНУ	j-a-tʃʰ-'i-d-n-u	1. масд. от  гл. йачида́ 2. 1) 1) перенос, перетаскивание 2) перен. терпение, терпеливость; вынесение тягот, выносливость; дилолъыл мижо рачидну лотIокъби вам далеко до моей выносливости; ср.: ачидну, бачидну, рачидну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	терпение	перен. терпение, терпеливость;			вынесение тягот, выносливость; дилолъыл мижо рачидну лотIокъби вам далеко до моей выносливости; ср.: ачидну, бачидну, рачидну
Khwarshi	khva1239	3609	5110	Й/АЧИДОКIА́	j-a-tʃʰ-i-d-o-k’-'a	(йачидо́кIше, йачидо­кIи́, йачидокIу́н, йачидокIōй, йа́чидокIо) понуд. от гл. йачида́; ср.: ачидокIа, бачидокIа, рачидокIа	(йачидо́кIше, йачидо­кIи́, йачидокIу́н, йачидокIōй, йа́чидокIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	заставить терпеть	(йачидо́кIше, йачидо­кIи́, йачидокIу́н, йачидокIōй, йа́чидокIо) понуд. от гл. йачида́;			ср.: ачидокIа, бачидокIа, рачидокIа
Khwarshi	khva1239	3610	5111	Й/АЧИДОХКIА́	j-a-tʃʰ-i-d-o-χ-k’-'a	(йачидоху́кIше, йа­чидохкIи́, йачидохкIу́н, йачидохкIōй, йа́чидохкIо) понуд. от йачидокIа́; ср.: ачидохкIа, бачидохкIа, рачидохкIа	(йачидоху́кIше, йа­чидохкIи́, йачидохкIу́н, йачидохкIōй, йа́чидохкIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	заставить заставить терпеть	(йачидоху́кIше, йа­чидохкIи́, йачидохкIу́н, йачидохкIōй, йа́чидохкIо) понуд. от йачидокIа́;			ср.: ачидохкIа, бачидохкIа, рачидохкIа
Khwarshi	khva1239	3611	5112	Й/АЧУ́Н	j-a-tʃʰ-'u-n	1. деепр. от йачва́ 2. в знач. нареч. свободно, душа в душу, вольготно (с раскрытой душой); илулъгъул йу цIакъ йачун йечи с нами она была душа в душу; ср. ачун, бачун, лачун		Jacob Lvovski	converb	Dzhidalaev, Magomedova, Khalilov 2022	разлагаясь	деепр. от йачва́			
Khwarshi	khva1239	3611	5113	Й/АЧУ́Н	j-a-tʃʰ-'u-n	1. деепр. от йачва́ 2. в знач. нареч. свободно, душа в душу, вольготно (с раскрытой душой); илулъгъул йу цIакъ йачун йечи с нами она была душа в душу; ср. ачун, бачун, лачун		Jacob Lvovski	converb	Dzhidalaev, Magomedova, Khalilov 2022	свободно	в знач. нареч. свободно, душа в душу, вольготно (с раскрытой душой);			илулъгъул йу цIакъ йачун йечи с нами она была душа в душу; ср. ачун, бачун, лачун
Khwarshi	khva1239	3612	5114	Й/АЧУ́ХНУ	j-a-tʃʰ-'u-χ-n-u	1. масд. от гл. йачхва́ 2. 1) распространение 2) разматывание; кIомор йачухну разматывание клубка 3) раскидывание; гьел йачухну раскидывание (расстилание) фасоли (гороха) на солнце 4) распеленание; кад йачухну распеленание ребёнка (девочки); ср. ачухну, бачухну, рачухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	распространение	масд. от гл. йачхва́			
Khwarshi	khva1239	3612	5115	Й/АЧУ́ХНУ	j-a-tʃʰ-'u-χ-n-u	1. масд. от гл. йачхва́ 2. 1) распространение 2) разматывание; кIомор йачухну разматывание клубка 3) раскидывание; гьел йачухну раскидывание (расстилание) фасоли (гороха) на солнце 4) распеленание; кад йачухну распеленание ребёнка (девочки); ср. ачухну, бачухну, рачухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	распространение	распространение			
Khwarshi	khva1239	3612	5116	Й/АЧУ́ХНУ	j-a-tʃʰ-'u-χ-n-u	1. масд. от гл. йачхва́ 2. 1) распространение 2) разматывание; кIомор йачухну разматывание клубка 3) раскидывание; гьел йачухну раскидывание (расстилание) фасоли (гороха) на солнце 4) распеленание; кад йачухну распеленание ребёнка (девочки); ср. ачухну, бачухну, рачухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	разматывание	разматывание;			кIомор йачухну разматывание клубка
Khwarshi	khva1239	3612	5117	Й/АЧУ́ХНУ	j-a-tʃʰ-'u-χ-n-u	1. масд. от гл. йачхва́ 2. 1) распространение 2) разматывание; кIомор йачухну разматывание клубка 3) раскидывание; гьел йачухну раскидывание (расстилание) фасоли (гороха) на солнце 4) распеленание; кад йачухну распеленание ребёнка (девочки); ср. ачухну, бачухну, рачухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	раскидывание	раскидывание;			гьел йачухну раскидывание (расстилание) фасоли (гороха) на солнце
Khwarshi	khva1239	3612	5118	Й/АЧУ́ХНУ	j-a-tʃʰ-'u-χ-n-u	1. масд. от гл. йачхва́ 2. 1) распространение 2) разматывание; кIомор йачухну разматывание клубка 3) раскидывание; гьел йачухну раскидывание (расстилание) фасоли (гороха) на солнце 4) распеленание; кад йачухну распеленание ребёнка (девочки); ср. ачухну, бачухну, рачухну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	распеленание	распеленание;			кад йачухну распеленание ребёнка (девочки); ср. ачухну, бачухну, рачухну
Khwarshi	khva1239	3613	5119	Й/АЧИДОХКIА́	j-a-tʃʰ-i-d-o-χ-k’-'a	(йачидоху́кIше, йачи­дохкIи́, йачидохкIу́н, йачидохкIōй, йа́чидохкIо) понуд. 1) заставить (вынудить) терпеть 2) заставить вынести; цIо­ддов холи гъиIнахъа эззагIан гьимон рачидохкIи пьяница-муж заставил жену выстрадать (принёс ей много страданий); см. ачидохкIа, бачидохкIа, рачидохкIа	(йачидоху́кIше, йачи­дохкIи́, йачидохкIу́н, йачидохкIōй, йа́чидохкIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	заставить терпеть	заставить (вынудить) терпеть			
Khwarshi	khva1239	3613	5120	Й/АЧИДОХКIА́	j-a-tʃʰ-i-d-o-χ-k’-'a	(йачидоху́кIше, йачи­дохкIи́, йачидохкIу́н, йачидохкIōй, йа́чидохкIо) понуд. 1) заставить (вынудить) терпеть 2) заставить вынести; цIо­ддов холи гъиIнахъа эззагIан гьимон рачидохкIи пьяница-муж заставил жену выстрадать (принёс ей много страданий); см. ачидохкIа, бачидохкIа, рачидохкIа	(йачидоху́кIше, йачи­дохкIи́, йачидохкIу́н, йачидохкIōй, йа́чидохкIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	заставить вынести	заставить вынести;			цIо­ддов холи гъиIнахъа эззагIан гьимон рачидохкIи пьяница-муж заставил жену выстрадать (принёс ей много страданий); см. ачидохкIа, бачидохкIа, рачидохкIа
Khwarshi	khva1239	3614	5121	Й/АЧ-Й/АХВА́	j-a-tʃʰ-j-a-χ-w-'a	(йач-йа́хвше, йач-йа­хви́, йач-йаху́н, йач-йа̄хв, йа́ч-йахва) 1) развеселиться; гьобийе ишу йач-йахви теперь мать развеселилась 2) благорасположиться; ср.: ач-ахва, бач-бахва, рач-рахва	(йач-йа́хвше, йач-йа­хви́, йач-йаху́н, йач-йа̄хв, йа́ч-йахва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	развеселиться	развеселиться;			гьобийе ишу йач-йахви теперь мать развеселилась
Khwarshi	khva1239	3614	5122	Й/АЧ-Й/АХВА́	j-a-tʃʰ-j-a-χ-w-'a	(йач-йа́хвше, йач-йа­хви́, йач-йаху́н, йач-йа̄хв, йа́ч-йахва) 1) развеселиться; гьобийе ишу йач-йахви теперь мать развеселилась 2) благорасположиться; ср.: ач-ахва, бач-бахва, рач-рахва	(йач-йа́хвше, йач-йа­хви́, йач-йаху́н, йач-йа̄хв, йа́ч-йахва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	благорасположиться	благорасположиться;			ср.: ач-ахва, бач-бахва, рач-рахва
Khwarshi	khva1239	3615	5123	Й/АЧ-Й/АХКIВА́	j-a-tʃʰ-j-a-χ-k’-w-'a	(йач-йаху́кIше, йач-йахкIви́, йач-йахкIу́н, йач-йахва̄кI, йа́ч-йахкIва) развеселить; ме йу кад йач-йахкIва ты развеселила эту девочку; ср.:  ач-ахкIва, бач-бахкIва, рач-рахкIва	(йач-йаху́кIше, йач-йахкIви́, йач-йахкIу́н, йач-йахва̄кI, йа́ч-йахкIва)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022	развеселить	развеселить;			ме йу кад йач-йахкIва ты развеселила эту девочку; ср.:  ач-ахкIва, бач-бахкIва, рач-рахкIва
Khwarshi	khva1239	3616	5124	Й/АЧ-ЙА́ХНУ	j-a-tʃʰ-j-'a-χ-n-u	1. масд. от гл. йач-йа­хва́ 2. хорошее расположение духа; хороший настрой; илул гохъи илъес йач-йахну нам понравилось её хорошее на­строение; ср.: ач-ахну, бач-бахну, рач-рахну		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022	благорасположение	масд. от гл. йач-йа­хва́			
