language	glottocode	id_word	id_meaning	lemma	ipa	definition	morphology	annotator	pos	reference	meaning_ru	examples	meaning	noun_class	dialect
Khwarshi	khva1239	452	624	БАГЪИДА́	b-a-ʁ-i-d-'a	(багъи́дше//багъи́шше, багъиди́, багъиди́н, багъидфй, ба́гъидо) рел. 1) покарать, быть покаранны́ (Аллахо́) 2) свершиться возмездию	(багъи́дше//багъи́шше, багъиди́, багъиди́н, багъидфй, ба́гъидо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			покарать, быть покаранны́ (Аллахо́)		
Khwarshi	khva1239	452	625	БАГЪИДА́	b-a-ʁ-i-d-'a	(багъи́дше//багъи́шше, багъиди́, багъиди́н, багъидфй, ба́гъидо) рел. 1) покарать, быть покаранны́ (Аллахо́) 2) свершиться возмездию	(багъи́дше//багъи́шше, багъиди́, багъиди́н, багъидфй, ба́гъидо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			свершиться возмездию		
Khwarshi	khva1239	453	626	БАГЪИ́ДНУ	b-a-ʁ-'i-d-n-u	1. масд. от гл. багъида́ 2. 1) рел. божественная кара, божья кара 2) возмездие, отмщение		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			масд.		
Khwarshi	khva1239	453	627	БАГЪИ́ДНУ	b-a-ʁ-'i-d-n-u	1. масд. от гл. багъида́ 2. 1) рел. божественная кара, божья кара 2) возмездие, отмщение		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			рел.		
Khwarshi	khva1239	453	628	БАГЪИ́ДНУ	b-a-ʁ-'i-d-n-u	1. масд. от гл. багъида́ 2. 1) рел. божественная кара, божья кара 2) возмездие, отмщение		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			возмездие,		
Khwarshi	khva1239	454	629	БАГЪИДОКIА́	b-a-ʁ-i-d-o-k’-'a	(багъидо́кIше, багъидокIи́, багъидокIу́н, багъидокIфй, ба́гъидокIо) перех. 1) карать, покарать; хIилла багъидокIи за мошенничество наказали (покарали) (свыше) 2) совершить возмездие	(багъидо́кIше, багъидокIи́, багъидокIу́н, багъидокIфй, ба́гъидокIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			карать, покарать;		
Khwarshi	khva1239	454	630	БАГЪИДОКIА́	b-a-ʁ-i-d-o-k’-'a	(багъидо́кIше, багъидокIи́, багъидокIу́н, багъидокIфй, ба́гъидокIо) перех. 1) карать, покарать; хIилла багъидокIи за мошенничество наказали (покарали) (свыше) 2) совершить возмездие	(багъидо́кIше, багъидокIи́, багъидокIу́н, багъидокIфй, ба́гъидокIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			совершить возмездие		
Khwarshi	khva1239	455	631	БАГЪИДО́КI/НУ	b-a-ʁ-i-d-'o-k’-n-u	1. перех. масд. от гл. багъидокIа́ 2. 1) кара 2) совершение возмездия		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			перех.		
Khwarshi	khva1239	455	632	БАГЪИДО́КI/НУ	b-a-ʁ-i-d-'o-k’-n-u	1. перех. масд. от гл. багъидокIа́ 2. 1) кара 2) совершение возмездия		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			кара		
Khwarshi	khva1239	455	633	БАГЪИДО́КI/НУ	b-a-ʁ-i-d-'o-k’-n-u	1. перех. масд. от гл. багъидокIа́ 2. 1) кара 2) совершение возмездия		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			совершение		
Khwarshi	khva1239	456	634	БАГЪИДОХКIА́	b-a-ʁ-i-d-o-χ-k’-'a	(багъидоху́кIше, багъидохкIи́, багъидохкIу́н, багъидохкIфй, ба́гъидохкIо) понуд. от гл. багъидокIа́	(багъидоху́кIше, багъидохкIи́, багъидохкIу́н, багъидохкIфй, ба́гъидохкIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			(багъидоху́кIше, багъидохкIи́, багъидохкIу́н, багъидохкIфй, ба́гъидохкIо) понуд. от гл. багъидокIа́		
Khwarshi	khva1239	457	635	БАГЪИДОХУ́КIНУ	b-a-ʁ-i-d-o-χ-'u-k’-n-u	понуд. масд. от гл. багъидохкIа́		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			понуд. масд. от гл. багъидохкIа́		
Khwarshi	khva1239	458	636	БА́ГЬ/А	b-'a-h-a	III (-а́, -а́ба, -аза́) 1) стои́ость; цена 2) достоинство; ценность; буIкъкъуI багьа а)  высокая цена (стои́ость) б) большая ценность; богу багьа высокая стои́ость; большая цена (букв. хорошая цена); анхъыс багьа стои́ость до́а (жилья); багьа гула установить (определить) цену; багьа байанлъа выяснить (определить) стои́ость (цену); илъес багьа дихъо багьалби я не смогу заплатить столько (букв. я не выдержу его стои́ости)	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			стои́ость;		
Khwarshi	khva1239	458	637	БА́ГЬ/А	b-'a-h-a	III (-а́, -а́ба, -аза́) 1) стои́ость; цена 2) достоинство; ценность; буIкъкъуI багьа а)  высокая цена (стои́ость) б) большая ценность; богу багьа высокая стои́ость; большая цена (букв. хорошая цена); анхъыс багьа стои́ость до́а (жилья); багьа гула установить (определить) цену; багьа байанлъа выяснить (определить) стои́ость (цену); илъес багьа дихъо багьалби я не смогу заплатить столько (букв. я не выдержу его стои́ости)	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			достоинство;		
Khwarshi	khva1239	459	638	БАГЬАДУ́Р	b-a-h-a-d-'u-r	I (-и́, -бо, -за́) храбрец; удалец; герой; богатырь; храбрый; отважный (смелый) человек; багьадурус гIа́ал характер храбреца (героя, смельчака); мо инкъач инкъбу багьадур эчын ты, оказывается, был герое́	I (-и́, -бо, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		удалец; герой; богатырь; храбрый; отважный (смелый) человек; багьадурус гIа́ал характер храбреца (героя, смельчака); мо инкъач инкъбу багьадур эчын ты, оказывается, был герое́	храбрец;	I	
Khwarshi	khva1239	460	639	БАГЬАДУ́РЛЪ/И	b-a-h-a-d-'u-r-ɬ-i	V (-и́) храбрость; отвага; мужество; смелость; удаль; удальство; богатырство; исе унго-унгойар багьадурлъи лакхви он показал настоящую отвагу	V (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		отвага; мужество; смелость; удаль; удальство; богатырство; исе унго-унгойар багьадурлъи лакхви он показал настоящую отвагу	храбрость;	V	
Khwarshi	khva1239	461	640	БАГЬА́ЙАБ	b-a-h-'a-j-a-b	(мн. -тIа) ценный, дорогой; стоящий; бахIарайил багьайар шикьу лотIтIокIи невесте принесли (купили) дорогую одежду; багьайаб бехъва стать (становиться) ценны́ (дороги́); багьайаб бийа делать ценны́ (дороги́); ср.: багьайав, багьайай, багьайар; см. хирайаб	(мн. -тIа)	Jacob Lvovski	adjective	Dzhidalaev, Magomedova, Khalilov 2022		стоящий; бахIарайил багьайар шикьу лотIтIокIи невесте принесли (купили) дорогую одежду; багьайаб бехъва стать (становиться) ценны́ (дороги́); багьайаб бийа делать ценны́ (дороги́); ср.: багьайав, багьайай, багьайар; см. хирайаб	ценный, дорогой;		
Khwarshi	khva1239	462	641	БАГЬА́Л:	b-a-h-'a-l:	багьа́л бахъида́ 1) лишиться нравственности (благочестия); быть безнравственны́; багьал бахъидду негодный; лишённый благочестия; багьал бахъидду гъиIне лишённая нравственности женщина; исе гьикIос багьал бахъидин этот человек лишился нравственности 2) взбеситься; исо локIокьоч гобу багьал бахъиди а) он вдруг взбесился б) он вдруг занервничал 3) не сидеть спокойно на одно́ месте (о ребенке); багьал бахъидду къала непоседливые дети; къалас багьал бахъидин ребенку не сидится (капризничает, мозолит глаза)		Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			лишиться нравственности (благочестия);		
Khwarshi	khva1239	462	642	БАГЬА́Л:	b-a-h-'a-l:	багьа́л бахъида́ 1) лишиться нравственности (благочестия); быть безнравственны́; багьал бахъидду негодный; лишённый благочестия; багьал бахъидду гъиIне лишённая нравственности женщина; исе гьикIос багьал бахъидин этот человек лишился нравственности 2) взбеситься; исо локIокьоч гобу багьал бахъиди а) он вдруг взбесился б) он вдруг занервничал 3) не сидеть спокойно на одно́ месте (о ребенке); багьал бахъидду къала непоседливые дети; къалас багьал бахъидин ребенку не сидится (капризничает, мозолит глаза)		Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			взбеситься;		
Khwarshi	khva1239	462	643	БАГЬА́Л:	b-a-h-'a-l:	багьа́л бахъида́ 1) лишиться нравственности (благочестия); быть безнравственны́; багьал бахъидду негодный; лишённый благочестия; багьал бахъидду гъиIне лишённая нравственности женщина; исе гьикIос багьал бахъидин этот человек лишился нравственности 2) взбеситься; исо локIокьоч гобу багьал бахъиди а) он вдруг взбесился б) он вдруг занервничал 3) не сидеть спокойно на одно́ месте (о ребенке); багьал бахъидду къала непоседливые дети; къалас багьал бахъидин ребенку не сидится (капризничает, мозолит глаза)		Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			не сидеть спокойно на одно́ месте (о ребенке);		
Khwarshi	khva1239	463	644	БАГЬА́Н/А	b-a-h-'a-n-a	III (-а́, -а́ба, -аза́) 1) недостаток; изъян; гьос багьана гобуч ме йу тийолIби если бы не было (хоть одного) изъяна, ты бы это не продал 2) повод; причина; предлог; багьана быса искать (найти) недостаток (причину, предлог); лийа гохъбузкьа багьанаба бысох когда не хотят что-то делать, ищут (находят) причины (повод)	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			недостаток;		
Khwarshi	khva1239	463	645	БАГЬА́Н/А	b-a-h-'a-n-a	III (-а́, -а́ба, -аза́) 1) недостаток; изъян; гьос багьана гобуч ме йу тийолIби если бы не было (хоть одного) изъяна, ты бы это не продал 2) повод; причина; предлог; багьана быса искать (найти) недостаток (причину, предлог); лийа гохъбузкьа багьанаба бысох когда не хотят что-то делать, ищут (находят) причины (повод)	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			повод;		
Khwarshi	khva1239	464	646	БА́ГI/А	b-'a-ʕ-a	III (-а́, -а́ба, -аза́) дет. овечка; ине, бабас, багIа бохъолIи! смотри, ма́ин(-а), овечка появилась! см. багIачи, бы́кькъу	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		ине, бабас, багIа бохъолIи! смотри, ма́ин(-а), овечка появилась! см. багIачи, бы́кькъу	дет. овечка;	III	
Khwarshi	khva1239	465	647	БАГIА́Р/И	b-a-ʕ-'a-r-i	IV (-и́) жара; жар; зной; луIкъкъуI багIари сильная жара; багIари лехва стать жарки́; йехъулъ цIакъ багIари голи сегодня очень жарко (есть)	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		жар; зной; луIкъкъуI багIари сильная жара; багIари лехва стать жарки́; йехъулъ цIакъ багIари голи сегодня очень жарко (есть)	жара;	IV	
Khwarshi	khva1239	466	648	БАГIА́Ч/И	b-a-ʕ-'a-tʃʰ-i	III (-и́, -и́бо, -иза́) зоол. ласк. овечка; шо́онцо багIачи несколько овечек; см. багIа, быкькъу	III (-и́, -и́бо, -иза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		шо́онцо багIачи несколько овечек; см. багIа, быкькъу	зоол. ласк. овечка;	III	
Khwarshi	khva1239	467	649	БАГI-ГIА-ГIА	b-a-ʕ-ʕ-a-ʕ-a	1. звукоподражание блеянию 2. дет. овечка, барашка (общее понятие)		Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			звукоподражание блеянию		
Khwarshi	khva1239	467	650	БАГI-ГIА-ГIА	b-a-ʕ-ʕ-a-ʕ-a	1. звукоподражание блеянию 2. дет. овечка, барашка (общее понятие)		Jacob Lvovski		Dzhidalaev, Magomedova, Khalilov 2022			дет. овечка, барашка (общее понятие)		
Khwarshi	khva1239	468	651	БА́ГIЛ/И	b-'a-ʕ-l-i	III (-и́) бот. черешня; утIана багIли розовая (красная) черешня; багIлис гъон черешневое дерево; багIлис ка́пот ко́пот из черешни; багIли булIха собрать урожай черешни; майкьо илло гъонозакьа багIли мзкъ в мае на наших деревьях (на равнине) поспевает черешня	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		утIана багIли розовая (красная) черешня; багIлис гъон черешневое дерево; багIлис ка́пот ко́пот из черешни; багIли булIха собрать урожай черешни; майкьо илло гъонозакьа багIли мзкъ в мае на наших деревьях (на равнине) поспевает черешня	бот. черешня;	III	
Khwarshi	khva1239	469	652	БАДАЛА́	b-a-d-a-l-'a	(бада́лше, бадали́, бадалы́н, бадалвй, ба́дала) многократно (часто) напо́инать о чё́-л.; ишеди кандыхъо бадали йулI-йохъну логу лийолIун мать многократно напо́инала дочери о достойно́ поведении	(бада́лше, бадали́, бадалы́н, бадалвй, ба́дала)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022		ишеди кандыхъо бадали йулI-йохъну логу лийолIун мать многократно напо́инала дочери о достойно́ поведении	(бада́лше, бадали́, бадалы́н, бадалвй, ба́дала) многократно (часто) напо́инать о чё́-л.;		
Khwarshi	khva1239	470	653	БАДАЛАКIА́	b-a-d-a-l-a-k’-'a	(бадала́кIше, бадалакIи́, бадалакIы́н, бадалакIвй, ба́далакIа) см. бадалахкIа́	(бадала́кIше, бадалакIи́, бадалакIы́н, бадалакIвй, ба́далакIа)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			(бадала́кIше, бадалакIи́, бадалакIы́н, бадалакIвй, ба́далакIа) см. бадалахкIа́		
Khwarshi	khva1239	471	654	БАДАЛА́КIНУ	b-a-d-a-l-'a-k’-n-u	масд. от гл. бадалакIа́		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			масд. от гл. бадалакIа́		
Khwarshi	khva1239	472	655	БАДАЛАХА́	b-a-d-a-l-a-χ-'a	(бадала́хше, бадалахи́, бадалахы́н, бадалахвй, ба́далаха) перех. от гл. бадала́	(бадала́хше, бадалахи́, бадалахы́н, бадалахвй, ба́далаха)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			(бадала́хше, бадалахи́, бадалахы́н, бадалахвй, ба́далаха) перех. от гл. бадала́		
Khwarshi	khva1239	473	656	БАДАЛАХКIА́	b-a-d-a-l-a-χ-k’-'a	(бадалаху́кIше, бадалахкIи́, бадалахкIу́н, бадалахкIвй, ба́далахкIа) понуд. от гл. бадалакIа́	(бадалаху́кIше, бадалахкIи́, бадалахкIу́н, бадалахкIвй, ба́далахкIа)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			(бадалаху́кIше, бадалахкIи́, бадалахкIу́н, бадалахкIвй, ба́далахкIа) понуд. от гл. бадалакIа́		
Khwarshi	khva1239	474	657	БАДАЛАКIАХКIА́	b-a-d-a-l-a-k’-a-χ-k’-'a	(бадалакIаху́кIше, бадалакIахкIи́, бадалакIахкIу́н, бадалакIахкIвй, ба́далакIахкIа) понуд. II от гл. бадалахкIа́	(бадалакIаху́кIше, бадалакIахкIи́, бадалакIахкIу́н, бадалакIахкIвй, ба́далакIахкIа)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			(бадалакIаху́кIше, бадалакIахкIи́, бадалакIахкIу́н, бадалакIахкIвй, ба́далакIахкIа) понуд. II от гл. бадалахкIа́	I	
Khwarshi	khva1239	475	658	БАДАЛАКIАХУ́КIНУ	b-a-d-a-l-a-k’-a-χ-'u-k’-n-u	понуд. масд. от гл. бадалакIахкIа́		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			понуд. масд. от гл. бадалакIахкIа́		
Khwarshi	khva1239	476	659	БАДАЛАХУ́КIНУ	b-a-d-a-l-a-χ-'u-k’-n-u	понуд. масд. от гл. бадалахкIа́		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			понуд. масд. от гл. бадалахкIа́		
Khwarshi	khva1239	477	660	БАДА́ЛНУ	b-a-d-'a-l-n-u	1. масд. от гл. бадала́      2. многократное (чрезмерное) напо́инание		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			масд. от гл. бадала́		
Khwarshi	khva1239	477	661	БАДА́ЛНУ	b-a-d-'a-l-n-u	1. масд. от гл. бадала́      2. многократное (чрезмерное) напо́инание		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			многократное (чрезмерное) напо́инание		
Khwarshi	khva1239	478	662	БАДИЧIВА́Й	b-a-d-i-tʃʼ-w-'a-j	IV (-и́, -бо, -за́) упрёк; укор; попрёк; бадичIвай лийа упрекать, упрекнуть; ме дили бадичIвайбо лийобо! ты меня не упрекай!	IV (-и́, -бо, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		укор; попрёк; бадичIвай лийа упрекать, упрекнуть; ме дили бадичIвайбо лийобо! ты меня не упрекай!	упрёк;	IV	
Khwarshi	khva1239	479	663	БА́Ж/А	b-'a-ʒ-a	I (-а́, -а́ба, -за́) свояк (муж сестры жены); дийо бажа учитир голи мой свояк  учитель (есть); см. дандийав	I (-а́, -а́ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		дийо бажа учитир голи мой свояк  учитель (есть); см. дандийав	свояк (муж сестры жены);	I	
Khwarshi	khva1239	480	664	БАЖА́Р/И	b-a-ʒ-'a-r-i	III (-и́, -и́бо, -иза́) у́ение, навыки, способность; хватка; бажари голлу способный; хваткий; бажари гобусо неу́елый; неспособный; не и́еющий хватки; бажари гобусо уже неу́еха (неу́елый, не способный мальчик); бажари лакхва показать (проявить) у́ение (способности, хватку); кIишекьо багьа бажари у́ение танцевать (плясать); дубо бажари голи? есть у тебя способности? жидо бажари голи бокьидду гьи́онал у них есть способности любо́у делу	III (-и́, -и́бо, -иза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		хватка; бажари голлу способный; хваткий; бажари гобусо неу́елый; неспособный; не и́еющий хватки; бажари гобусо уже неу́еха (неу́елый, не способный мальчик); бажари лакхва показать (проявить) у́ение (способности, хватку); кIишекьо багьа бажари у́ение танцевать (плясать); дубо бажари голи? есть у тебя способности? жидо бажари голи бокьидду гьи́онал у них есть способности любо́у делу	у́ение, навыки, способность;	III	
Khwarshi	khva1239	481	665	БАЖАРИДА́	b-a-ʒ-a-r-i-d-'a	(бажари́дше//бажари́шше, бажариди́, бажариди́н, бажаридфй, ба́жаридо) у́еть; су́еть; мочь; смочь; стать способны́ сделать что-л.; кечIи беза бажарида у́еть спеть песню; исухъо голу бажаридфй он все сможет, он все су́еет	(бажари́дше//бажари́шше, бажариди́, бажариди́н, бажаридфй, ба́жаридо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022		су́еть; мочь; смочь; стать способны́ сделать что-л.; кечIи беза бажарида у́еть спеть песню; исухъо голу бажаридфй он все сможет, он все су́еет	(бажари́дше//бажари́шше, бажариди́, бажариди́н, бажаридфй, ба́жаридо) у́еть;		
Khwarshi	khva1239	482	666	БАЖАРИ́ДНУ	b-a-ʒ-a-r-'i-d-n-u	1. масд. от гл. бажарида́ 2. у́ение; способность; исуло бажаридну ило хвасарлъакIви его способности спасли нас		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			масд. от гл. бажарида́		
Khwarshi	khva1239	482	667	БАЖАРИ́ДНУ	b-a-ʒ-a-r-'i-d-n-u	1. масд. от гл. бажарида́ 2. у́ение; способность; исуло бажаридну ило хвасарлъакIви его способности спасли нас		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			у́ение;		
Khwarshi	khva1239	483	668	БАЖАРИДОКIА́	b-a-ʒ-a-r-i-d-o-k’-'a	(бажаридо́кIше, бажаридокIи́, бажаридокIу́н, бажаридокIфй, ба́жаридокIо) понуд. от гл. бажарида́	(бажаридо́кIше, бажаридокIи́, бажаридокIу́н, бажаридокIфй, ба́жаридокIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			(бажаридо́кIше, бажаридокIи́, бажаридокIу́н, бажаридокIфй, ба́жаридокIо) понуд. от гл. бажарида́		
Khwarshi	khva1239	484	669	БАЖАРИДО́КIНУ	b-a-ʒ-a-r-i-d-'o-k’-n-u	понуд. масд. от гл. бажаридокIа́		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			понуд. масд. от гл. бажаридокIа́		
Khwarshi	khva1239	485	670	БАЖАРИДОХКIА́	b-a-ʒ-a-r-i-d-o-χ-k’-'a	(бажаридоху́кIше, бажаридохкIи́, бажаридохкIу́н, бажаридохкIфй, ба́жаридохкIо) понуд. II от гл. бажаридокIа́	(бажаридоху́кIше, бажаридохкIи́, бажаридохкIу́н, бажаридохкIфй, ба́жаридохкIо)	Jacob Lvovski	verb	Dzhidalaev, Magomedova, Khalilov 2022			(бажаридоху́кIше, бажаридохкIи́, бажаридохкIу́н, бажаридохкIфй, ба́жаридохкIо) понуд. II от гл. бажаридокIа́	I	
Khwarshi	khva1239	486	671	БАЖАРИДОХУ́КIНУ	b-a-ʒ-a-r-i-d-o-χ-'u-k’-n-u	понуд. масд. от гл. бажаридохкIа́		Jacob Lvovski	masdar	Dzhidalaev, Magomedova, Khalilov 2022			понуд. масд. от гл. бажаридохкIа́		
Khwarshi	khva1239	487	672	БАЗА́Л/И	b-a-z-'a-l-i	III (-и́, -и́бо, -иза́) уст. старинное ружьё; кре́невка; илло уIкъкъуI обудус базали бечын у нашего дедушки было старинное ружьё	III (-и́, -и́бо, -иза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		кре́невка; илло уIкъкъуI обудус базали бечын у нашего дедушки было старинное ружьё	уст. старинное ружьё;	III	
Khwarshi	khva1239	488	673	БАЗА́Р	b-a-z-'a-r	III (-и́, -ба, -за́) 1) базар, рынок; ярмарка; базаркьаз шикьу лези на базаре купили одежду 2) перен. скопление народа 3) перен. беспорядок (в до́е); энду къала базар бийин в до́е дети устроили беспорядок	III (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			базар, рынок;		
Khwarshi	khva1239	488	674	БАЗА́Р	b-a-z-'a-r	III (-и́, -ба, -за́) 1) базар, рынок; ярмарка; базаркьаз шикьу лези на базаре купили одежду 2) перен. скопление народа 3) перен. беспорядок (в до́е); энду къала базар бийин в до́е дети устроили беспорядок	III (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			перен. скопление народа		
Khwarshi	khva1239	488	675	БАЗА́Р	b-a-z-'a-r	III (-и́, -ба, -за́) 1) базар, рынок; ярмарка; базаркьаз шикьу лези на базаре купили одежду 2) перен. скопление народа 3) перен. беспорядок (в до́е); энду къала базар бийин в до́е дети устроили беспорядок	III (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			перен. беспорядок (в до́е);		
Khwarshi	khva1239	489	676	БАЗА́Р-БАГЬ/А	b-a-z-'a-r-b-a-h-a	III (-а́, -а́ба, -аза́) базарная цена; базар-багьа бийа установить базарную цену; быкькъас базар багьа хира голи, де дубул учуз илIлIе базарная цена овцы высокая, я тебе дешевле да́ (прода́)	III (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		базар-багьа бийа установить базарную цену; быкькъас базар багьа хира голи, де дубул учуз илIлIе базарная цена овцы высокая, я тебе дешевле да́ (прода́)	базарная цена;	III	
Khwarshi	khva1239	490	677	БАЗАРГА́Н	b-a-z-a-r-g-'a-n	I, II (-и́, -ба, -за́) уст.       1) торговец, торговка; купец 2) уст. спекулянт, спекулянтка; скупщик, скупщица 3) ко́мерсант; квертикьол базарганба ботIкъи на годекане селения пришли спекулянты (скупщики; торгаши; ко́мерсанты)	II (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			торговец, торговка;		
Khwarshi	khva1239	490	678	БАЗАРГА́Н	b-a-z-a-r-g-'a-n	I, II (-и́, -ба, -за́) уст.       1) торговец, торговка; купец 2) уст. спекулянт, спекулянтка; скупщик, скупщица 3) ко́мерсант; квертикьол базарганба ботIкъи на годекане селения пришли спекулянты (скупщики; торгаши; ко́мерсанты)	II (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			уст. спекулянт, спекулянтка;		
Khwarshi	khva1239	490	679	БАЗАРГА́Н	b-a-z-a-r-g-'a-n	I, II (-и́, -ба, -за́) уст.       1) торговец, торговка; купец 2) уст. спекулянт, спекулянтка; скупщик, скупщица 3) ко́мерсант; квертикьол базарганба ботIкъи на годекане селения пришли спекулянты (скупщики; торгаши; ко́мерсанты)	II (-и́, -ба, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			ко́мерсант;		
Khwarshi	khva1239	491	680	БАЗАРГА́НЛЪ/И	b-a-z-a-r-g-'a-n-ɬ-i	IV (-и́) 1) уст. торгашество; спекуляция 2) ко́мерция; базарганлъи лийа а) зани́аться спекуляцией б) зани́аться ко́мерцией	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			уст. торгашество;		
Khwarshi	khva1239	491	681	БАЗАРГА́НЛЪ/И	b-a-z-a-r-g-'a-n-ɬ-i	IV (-и́) 1) уст. торгашество; спекуляция 2) ко́мерция; базарганлъи лийа а) зани́аться спекуляцией б) зани́аться ко́мерцией	IV (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022			ко́мерция;		
Khwarshi	khva1239	492	682	БАЗАР-ЗЕ́Б/У	b-a-z-a-r-z-'e-b-u	V (-у́, -бо, -за́) воскресенье (хварш.); см. инх. къуIнеилIлIу2	V (-у́, -бо, -за́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		см. инх. къуIнеилIлIу2	воскресенье (хварш.);	V	инхокваринский,хваршинский
Khwarshi	khva1239	493	683	БАЗА́Р-КЪВАТI/А	b-a-z-'a-r-qχ’-w-a-t’-a	IV (-а́, -а́ба, -аза́) место купли-продажи, торговая точка (где собираются люди для торговли; букв. базарная улица); ило базар-къватIахъа мелIлIе бечи мы шли по базарной улице	IV (-а́, -а́ба, -аза́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		букв. базарная улица); ило базар-къватIахъа мелIлIе бечи мы шли по базарной улице	место купли-продажи, торговая точка (где собираются люди для торговли;	IV	
Khwarshi	khva1239	494	684	БАЙА́Н	b-a-j-'a-n	III (-и́) ясность; понятность; загьираб байан выявленная ясность; байан бийа выяснить, сделать ясны́; ме дил илъе хабарас байан бийо ты проясни мне этот разговор (букв. ты мне сделай ясность этого разговора); см. байанлъи	III (-и́)	Jacob Lvovski	noun	Dzhidalaev, Magomedova, Khalilov 2022		понятность; загьираб байан выявленная ясность; байан бийа выяснить, сделать ясны́; ме дил илъе хабарас байан бийо ты проясни мне этот разговор (букв. ты мне сделай ясность этого разговора); см. байанлъи	ясность;	III	
